"notation","title","description","id","title_en","description_en"
"1","Anforderungsbereich 'Wiedergeben' (AB I)","In diesem Anforderungsbereich geben die Schülerinnen und Schüler bekannte Informationen wieder und wenden grundlegende Verfahren und Routinen an.","d7b",,
"2","Anforderungsbereich 'Zusammenhänge herstellen' (AB II)","In diesem Anforderungsbereich bearbeiten die Schülerinnen und Schüler vertraute Sachverhalte, indem sie erworbenes Wissen und bekannte Methoden anwenden und miteinander verknüpfen.","h6f",,
"3","Anforderungsbereich 'Reflektieren und beurteilen' (AB III)","In diesem Anforderungsbereich bearbeiten die Schülerinnen und Schüler für sie neue Problemstellungen, die eigenständige Beurteilungen und eigene Lösungsansätze erfordern.","a5s",,
